shipment_id,date_arrivee_port,terminal,type_marchandise,volume_evp,volume_journalier_terminal,compagnie_transport,destination_finale,distance_corridor_km,jour_semaine,saison,statut_douane,temps_sejour_port_heures,temps_retour_conteneur_vide_heures,retard_corridor,cout_detention_estime_fcfa
CRI-00030,2024-01-03,Terminal Roulier,Import général,1,312,Transporteur E,Bamako (Mali),1226.1,Mercredi,sèche,dédouané avant arrivée,67.0,48.2,True,250421
CRI-00031,2024-01-03,Môle 1,Import général,2,340,Transporteur E,Dakar (local),19.8,Mercredi,sèche,dédouané avant arrivée,39.6,37.9,False,73568
CRI-00032,2024-01-03,Môle 3,Denrées alimentaires,1,280,Transporteur A,Tambacounda,457.1,Mercredi,sèche,bloqué (litige/documents),120.3,27.4,False,387677
CRI-00033,2024-01-03,Môle 3,Denrées alimentaires,1,391,Transporteur C,Dakar (local),18.6,Mercredi,sèche,dédouané avant arrivée,71.1,49.2,False,308363
CRI-00034,2024-01-03,Môle 8,Hydrocarbures,2,329,Transporteur C,Dakar (local),19.6,Mercredi,sèche,bloqué (litige/documents),103.4,37.8,False,778186
CRI-00035,2024-01-03,Terminal à Conteneurs,Import général,2,312,Transporteur D,Bamako (Mali),1163.3,Mercredi,sèche,dédouané avant arrivée,29.9,27.2,True,0
CRI-00036,2024-01-04,Môle 8,Biens de consommation,3,329,Transporteur C,Tambacounda,459.9,Jeudi,sèche,dédouanement en cours,44.2,52.4,False,470553
CRI-00037,2024-01-04,Môle 1,Matériaux de construction,1,360,Transporteur C,Kayes (Mali),892.4,Jeudi,sèche,dédouanement en cours,53.5,46.8,True,167621
CRI-00038,2024-01-04,Môle 3,Hydrocarbures,2,340,Transporteur B,Touba,192.1,Jeudi,sèche,dédouanement en cours,84.6,55.4,False,923676
CRI-00039,2024-01-04,Môle 3,Import général,1,344,Transporteur E,Bamako (Mali),1209.6,Jeudi,sèche,dédouané avant arrivée,56.6,38.0,True,148579
CRI-00040,2024-01-04,Terminal à Conteneurs,Import général,1,380,Transporteur G,Dakar (local),21.2,Jeudi,sèche,dédouanement en cours,116.2,51.3,False,559536
CRI-00041,2024-01-04,Terminal à Conteneurs,Denrées alimentaires,1,344,Transporteur B,Touba,201.8,Jeudi,sèche,dédouanement en cours,108.2,24.3,False,393033
CRI-00042,2024-01-04,Terminal Roulier,Matériaux de construction,1,286,Transporteur A,Bamako (Mali),1220.7,Jeudi,sèche,bloqué (litige/documents),137.8,56.2,True,803898
CRI-00043,2024-01-04,Môle 8,Import général,1,351,Transporteur E,Touba,188.4,Jeudi,sèche,dédouanement en cours,73.3,62.2,False,349350
CRI-00044,2024-01-05,Terminal Roulier,Biens de consommation,1,394,Transporteur D,Touba,189.0,Vendredi,sèche,dédouané avant arrivée,72.7,58.1,False,411212
CRI-00045,2024-01-05,Môle 1,Import général,1,354,Transporteur D,Tambacounda,479.3,Vendredi,sèche,dédouané avant arrivée,52.0,31.9,False,63119
CRI-00046,2024-01-05,Terminal Roulier,Matériaux de construction,2,277,Transporteur indépendant,Kaolack,192.0,Vendredi,sèche,dédouané avant arrivée,31.6,32.2,False,0
CRI-00047,2024-01-05,Terminal Roulier,Matériaux de construction,2,354,Transporteur G,Dakar (local),21.0,Vendredi,sèche,dédouanement en cours,87.6,28.8,False,578753
CRI-00048,2024-01-05,Terminal à Conteneurs,Import général,2,330,Transporteur indépendant,Dakar (local),20.4,Vendredi,sèche,dédouanement en cours,48.4,64.5,False,410312
CRI-00049,2024-01-05,Terminal à Conteneurs,Import général,1,360,Transporteur E,Dakar (local),20.0,Vendredi,sèche,dédouané avant arrivée,63.7,54.1,False,230603
CRI-00050,2024-01-05,Terminal à Conteneurs,Matériaux de construction,1,343,Transporteur A,Kaédi (Mauritanie),472.9,Vendredi,sèche,dédouané avant arrivée,47.2,66.0,False,191083
CRI-00051,2024-01-05,Terminal à Conteneurs,Denrées alimentaires,1,442,Transporteur E,Dakar (local),20.6,Vendredi,sèche,bloqué (litige/documents),189.7,71.6,True,1108298
CRI-00052,2024-01-05,Môle 1,Import général,1,338,Transporteur C,Dakar (local),18.9,Vendredi,sèche,dédouanement en cours,100.9,47.8,False,429471
CRI-00053,2024-01-05,Terminal Roulier,Hydrocarbures,4,304,Transporteur indépendant,Bamako (Mali),1186.1,Vendredi,sèche,dédouanement en cours,84.2,30.9,True,1141886
CRI-00054,2024-01-05,Môle 8,Biens de consommation,4,329,Transporteur G,Thiès,73.5,Vendredi,sèche,dédouanement en cours,58.8,24.0,False,298678
CRI-00055,2024-01-05,Môle 8,Biens de consommation,1,342,Transporteur A,Dakar (local),20.4,Vendredi,sèche,dédouanement en cours,122.1,43.1,False,466131
CRI-00056,2024-01-06,Môle 1,Denrées alimentaires,2,353,Transporteur G,Touba,180.1,Samedi,sèche,dédouané avant arrivée,65.4,53.3,False,441556
CRI-00057,2024-01-06,Terminal à Conteneurs,Biens de consommation,1,297,Transporteur C,Kaolack,193.2,Samedi,sèche,bloqué (litige/documents),78.5,24.5,False,194159
CRI-00058,2024-01-06,Môle 8,Équipements industriels,1,369,Transporteur F,Bamako (Mali),1191.1,Samedi,sèche,dédouané avant arrivée,56.1,29.4,False,84708
CRI-00059,2024-01-06,Terminal à Conteneurs,Import général,1,308,Transporteur E,Tambacounda,468.0,Samedi,sèche,dédouanement en cours,83.4,40.4,False,256187
CRI-00060,2024-01-06,Terminal à Conteneurs,Matériaux de construction,2,358,Transporteur F,Kayes (Mali),976.7,Samedi,sèche,dédouanement en cours,72.9,48.4,True,548437
CRI-00061,2024-01-06,Môle 3,Biens de consommation,2,310,Transporteur E,Kaédi (Mauritanie),463.7,Samedi,sèche,dédouanement en cours,56.4,21.8,False,71439
CRI-00062,2024-01-06,Môle 1,Denrées alimentaires,1,454,Transporteur A,Touba,197.4,Samedi,sèche,dédouané avant arrivée,58.4,72.5,False,354481
CRI-00063,2024-01-06,Môle 8,Hydrocarbures,1,334,Transporteur E,Thiès,71.6,Samedi,sèche,dédouané avant arrivée,53.5,56.8,False,240134
CRI-00064,2024-01-06,Môle 1,Import général,2,322,Transporteur C,Kaolack,184.7,Samedi,sèche,dédouané avant arrivée,60.6,19.9,False,84752
CRI-00065,2024-01-07,Terminal à Conteneurs,Équipements industriels,1,296,Transporteur B,Dakar (local),21.1,Dimanche,sèche,dédouané avant arrivée,76.4,48.2,False,366949
CRI-00066,2024-01-07,Terminal Roulier,Import général,1,223,Transporteur A,Bamako (Mali),1211.9,Dimanche,sèche,dédouanement en cours,78.9,23.2,False,150222
CRI-00067,2024-01-07,Môle 8,Hydrocarbures,1,263,Transporteur A,Kaolack,187.6,Dimanche,sèche,bloqué (litige/documents),110.6,31.4,False,382503
CRI-00068,2024-01-07,Terminal à Conteneurs,Denrées alimentaires,1,248,Transporteur G,Bamako (Mali),1228.6,Dimanche,sèche,dédouané avant arrivée,33.4,31.5,True,0
CRI-00069,2024-01-07,Terminal à Conteneurs,Biens de consommation,1,273,Transporteur F,Tambacounda,468.8,Dimanche,sèche,dédouanement en cours,66.7,34.7,False,137673
CRI-00070,2024-01-07,Terminal à Conteneurs,Matériaux de construction,1,273,Transporteur A,Kayes (Mali),896.6,Dimanche,sèche,dédouané avant arrivée,47.7,40.8,False,104034
CRI-00071,2024-01-07,Môle 3,Équipements industriels,3,305,Transporteur C,Dakar (local),20.2,Dimanche,sèche,dédouané avant arrivée,37.3,25.1,False,0
CRI-00072,2024-01-07,Terminal Roulier,Import général,1,265,Transporteur C,Dakar (local),20.2,Dimanche,sèche,dédouané avant arrivée,37.1,24.6,False,0
CRI-00073,2024-01-07,Terminal à Conteneurs,Denrées alimentaires,1,218,Transporteur A,Thiès,66.6,Dimanche,sèche,bloqué (litige/documents),82.8,38.0,False,221377
CRI-00074,2024-01-08,Môle 1,Denrées alimentaires,1,315,Transporteur indépendant,Bamako (Mali),1165.2,Lundi,sèche,dédouanement en cours,131.9,24.7,True,414737
CRI-00075,2024-01-08,Terminal à Conteneurs,Import général,3,361,Transporteur C,Dakar (local),19.3,Lundi,sèche,dédouané avant arrivée,74.3,26.7,False,460121
CRI-00076,2024-01-08,Môle 8,Équipements industriels,2,427,Transporteur E,Bamako (Mali),1263.9,Lundi,sèche,bloqué (litige/documents),127.6,55.2,True,1171638
CRI-00077,2024-01-08,Terminal à Conteneurs,Biens de consommation,1,449,Transporteur F,Bamako (Mali),1218.5,Lundi,sèche,dédouanement en cours,85.8,56.5,True,433479
CRI-00078,2024-01-08,Môle 1,Biens de consommation,2,362,Transporteur indépendant,Thiès,69.0,Lundi,sèche,dédouané avant arrivée,45.4,31.0,False,42855
CRI-00079,2024-01-08,Terminal à Conteneurs,Hydrocarbures,3,402,Transporteur D,Dakar (local),20.2,Lundi,sèche,dédouané avant arrivée,78.8,45.8,False,772025
CRI-00080,2024-01-08,Terminal à Conteneurs,Import général,2,362,Transporteur F,Thiès,70.6,Lundi,sèche,bloqué (litige/documents),106.3,55.2,False,1147461
CRI-00081,2024-01-09,Terminal à Conteneurs,Import général,1,361,Transporteur C,Kaédi (Mauritanie),501.6,Mardi,sèche,bloqué (litige/documents),105.8,33.5,False,318688
CRI-00082,2024-01-09,Môle 8,Biens de consommation,1,424,Transporteur F,Kaolack,195.5,Mardi,sèche,dédouanement en cours,84.0,59.5,False,378636
CRI-00083,2024-01-09,Terminal Roulier,Biens de consommation,3,346,Transporteur E,Kaolack,183.0,Mardi,sèche,dédouanement en cours,87.1,45.9,False,1018950
CRI-00084,2024-01-09,Môle 1,Import général,1,383,Transporteur B,Kayes (Mali),922.6,Mardi,sèche,dédouanement en cours,74.6,44.9,True,243907
CRI-00085,2024-01-09,Môle 3,Denrées alimentaires,1,410,Transporteur C,Thiès,69.2,Mardi,sèche,dédouanement en cours,96.9,55.4,False,402679
CRI-00086,2024-01-09,Terminal à Conteneurs,Biens de consommation,1,400,Transporteur D,Kaédi (Mauritanie),438.8,Mardi,sèche,dédouané avant arrivée,60.2,77.8,False,460993
CRI-00087,2024-01-09,Môle 8,Matériaux de construction,2,369,Transporteur F,Ziguinchor,451.1,Mardi,sèche,dédouanement en cours,76.0,24.1,False,267644
CRI-00088,2024-01-10,Terminal à Conteneurs,Denrées alimentaires,1,343,Transporteur indépendant,Bamako (Mali),1240.1,Mercredi,sèche,dédouanement en cours,82.9,51.9,True,298930
CRI-00089,2024-01-10,Môle 8,Import général,2,326,Transporteur B,Bamako (Mali),1221.1,Mercredi,sèche,dédouané avant arrivée,44.1,30.9,True,29294
CRI-00090,2024-01-10,Terminal à Conteneurs,Matériaux de construction,1,311,Transporteur B,Ziguinchor,454.8,Mercredi,sèche,dédouané avant arrivée,50.5,35.7,False,85298
CRI-00091,2024-01-10,Môle 1,Import général,4,309,Transporteur D,Dakar (local),20.8,Mercredi,sèche,dédouané avant arrivée,56.3,106.2,False,2379590
CRI-00092,2024-01-10,Môle 1,Hydrocarbures,1,265,Transporteur G,Kayes (Mali),938.7,Mercredi,sèche,dédouané avant arrivée,52.0,27.5,False,49930
CRI-00093,2024-01-10,Terminal à Conteneurs,Denrées alimentaires,4,383,Transporteur F,Thiès,67.2,Mercredi,sèche,dédouané avant arrivée,42.7,46.2,False,438782
CRI-00094,2024-01-10,Terminal Roulier,Denrées alimentaires,2,343,Transporteur indépendant,Kayes (Mali),935.4,Mercredi,sèche,dédouané avant arrivée,61.3,32.6,True,236476
CRI-00095,2024-01-10,Terminal à Conteneurs,Biens de consommation,1,437,Transporteur E,Kayes (Mali),929.3,Mercredi,sèche,dédouanement en cours,108.0,37.9,True,407183
CRI-00096,2024-01-10,Môle 3,Matériaux de construction,2,273,Transporteur indépendant,Touba,193.1,Mercredi,sèche,bloqué (litige/documents),155.1,35.9,False,1630390
CRI-00097,2024-01-10,Môle 1,Biens de consommation,1,342,Transporteur D,Bamako (Mali),1221.9,Mercredi,sèche,bloqué (litige/documents),130.5,37.6,True,581390
CRI-00098,2024-01-11,Terminal à Conteneurs,Matériaux de construction,1,292,Transporteur E,Bamako (Mali),1195.5,Jeudi,sèche,bloqué (litige/documents),149.1,26.7,True,485099
CRI-00099,2024-01-11,Terminal à Conteneurs,Denrées alimentaires,2,349,Transporteur E,Dakar (local),19.5,Jeudi,sèche,bloqué (litige/documents),122.4,47.1,False,910328
CRI-00100,2024-01-11,Terminal à Conteneurs,Biens de consommation,2,330,Transporteur F,Ziguinchor,463.2,Jeudi,sèche,dédouanement en cours,97.6,36.7,False,792946
CRI-00101,2024-01-11,Môle 1,Matériaux de construction,1,304,Transporteur indépendant,Touba,192.0,Jeudi,sèche,dédouanement en cours,46.0,44.4,False,124248
CRI-00102,2024-01-11,Môle 1,Denrées alimentaires,1,372,Transporteur A,Touba,175.5,Jeudi,sèche,bloqué (litige/documents),102.4,78.6,False,697513
CRI-00103,2024-01-11,Môle 3,Denrées alimentaires,1,357,Transporteur C,Dakar (local),20.0,Jeudi,sèche,dédouanement en cours,61.4,41.9,False,187255
CRI-00104,2024-01-12,Terminal à Conteneurs,Biens de consommation,1,316,Transporteur B,Kaolack,191.9,Vendredi,sèche,dédouanement en cours,76.8,40.8,False,263342
CRI-00105,2024-01-12,Terminal à Conteneurs,Matériaux de construction,1,366,Transporteur E,Kaédi (Mauritanie),471.4,Vendredi,sèche,dédouané avant arrivée,44.0,64.0,False,195174
CRI-00106,2024-01-12,Môle 3,Biens de consommation,1,416,Transporteur B,Thiès,68.2,Vendredi,sèche,dédouané avant arrivée,56.7,47.5,False,175308
CRI-00107,2024-01-12,Môle 1,Import général,2,321,Transporteur indépendant,Ziguinchor,455.5,Vendredi,sèche,dédouanement en cours,49.4,23.6,False,11095
CRI-00108,2024-01-12,Terminal à Conteneurs,Équipements industriels,1,326,Transporteur F,Dakar (local),19.8,Vendredi,sèche,dédouanement en cours,34.6,47.9,False,48184
CRI-00109,2024-01-12,Môle 3,Matériaux de construction,1,277,Transporteur D,Bamako (Mali),1139.4,Vendredi,sèche,dédouanement en cours,56.8,65.8,True,242030
CRI-00110,2024-01-12,Môle 1,Matériaux de construction,3,370,Transporteur D,Ziguinchor,471.6,Vendredi,sèche,dédouané avant arrivée,84.1,33.2,False,617937
CRI-00111,2024-01-12,Môle 3,Denrées alimentaires,1,322,Transporteur G,Kaolack,186.1,Vendredi,sèche,dédouanement en cours,100.3,44.3,False,347365
CRI-00112,2024-01-12,Môle 1,Import général,2,335,Transporteur B,Thiès,72.6,Vendredi,sèche,dédouané avant arrivée,60.8,61.1,False,618740
CRI-00113,2024-01-12,Môle 1,Hydrocarbures,1,299,Transporteur E,Bamako (Mali),1165.3,Vendredi,sèche,dédouané avant arrivée,58.7,40.8,True,125709
CRI-00114,2024-01-12,Môle 1,Denrées alimentaires,1,374,Transporteur E,Ziguinchor,449.5,Vendredi,sèche,dédouanement en cours,79.4,53.7,True,313350
CRI-00115,2024-01-12,Môle 8,Hydrocarbures,1,309,Transporteur indépendant,Bamako (Mali),1310.4,Vendredi,sèche,dédouané avant arrivée,43.4,44.8,True,95120
CRI-00116,2024-01-12,Terminal à Conteneurs,Biens de consommation,1,381,Transporteur B,Kaolack,185.3,Vendredi,sèche,dédouané avant arrivée,48.2,63.3,False,255543
CRI-00117,2024-01-12,Terminal Roulier,Matériaux de construction,2,319,Transporteur A,Tambacounda,476.1,Vendredi,sèche,bloqué (litige/documents),91.5,27.7,False,656022
CRI-00118,2024-01-13,Terminal à Conteneurs,Denrées alimentaires,1,304,Transporteur F,Kaédi (Mauritanie),463.3,Samedi,sèche,bloqué (litige/documents),117.2,22.4,False,322215
CRI-00119,2024-01-13,Terminal Roulier,Import général,2,312,Transporteur E,Touba,193.5,Samedi,sèche,dédouané avant arrivée,73.8,41.0,False,521865
CRI-00120,2024-01-13,Terminal à Conteneurs,Matériaux de construction,2,329,Transporteur C,Kaolack,191.8,Samedi,sèche,dédouané avant arrivée,55.2,27.0,False,93727
CRI-00121,2024-01-13,Môle 3,Import général,1,399,Transporteur A,Dakar (local),20.0,Samedi,sèche,dédouané avant arrivée,68.6,62.2,False,333119
CRI-00122,2024-01-13,Môle 8,Import général,1,301,Transporteur D,Kaolack,197.1,Samedi,sèche,bloqué (litige/documents),84.9,30.4,False,244050
CRI-00123,2024-01-13,Môle 3,Denrées alimentaires,2,407,Transporteur D,Kaolack,193.7,Samedi,sèche,dédouané avant arrivée,59.8,52.7,False,380550
CRI-00124,2024-01-13,Môle 8,Hydrocarbures,4,359,Transporteur C,Kaolack,191.8,Samedi,sèche,dédouanement en cours,100.6,32.6,False,1623316
CRI-00125,2024-01-13,Môle 3,Denrées alimentaires,1,326,Transporteur D,Tambacounda,476.6,Samedi,sèche,dédouané avant arrivée,31.0,38.8,False,0
CRI-00126,2024-01-13,Terminal à Conteneurs,Biens de consommation,1,329,Transporteur indépendant,Kaédi (Mauritanie),464.9,Samedi,sèche,dédouanement en cours,99.1,53.0,False,449860
CRI-00127,2024-01-13,Terminal à Conteneurs,Matériaux de construction,1,336,Transporteur C,Kaolack,187.5,Samedi,sèche,dédouanement en cours,63.7,34.9,False,180383
CRI-00128,2024-01-13,Môle 3,Import général,1,452,Transporteur C,Kaédi (Mauritanie),481.9,Samedi,sèche,dédouané avant arrivée,78.7,72.8,False,480475
CRI-00129,2024-01-13,Terminal à Conteneurs,Import général,1,277,Transporteur G,Kaolack,172.1,Samedi,sèche,dédouanement en cours,54.6,29.2,False,67572
CRI-00130,2024-01-13,Môle 1,Denrées alimentaires,1,306,Transporteur indépendant,Bamako (Mali),1185.4,Samedi,sèche,dédouané avant arrivée,57.9,41.1,True,122013
CRI-00131,2024-01-13,Môle 1,Import général,1,315,Transporteur F,Bamako (Mali),1194.6,Samedi,sèche,bloqué (litige/documents),158.5,71.0,False,977965
CRI-00132,2024-01-14,Terminal à Conteneurs,Import général,4,273,Transporteur indépendant,Thiès,71.7,Dimanche,sèche,dédouané avant arrivée,33.9,37.1,False,0
CRI-00133,2024-01-14,Môle 8,Hydrocarbures,1,234,Transporteur D,Kaédi (Mauritanie),485.6,Dimanche,sèche,dédouanement en cours,48.7,36.3,False,66245
CRI-00134,2024-01-14,Môle 1,Matériaux de construction,2,256,Transporteur E,Thiès,71.5,Dimanche,sèche,dédouanement en cours,71.4,25.7,False,339530
CRI-00135,2024-01-14,Terminal à Conteneurs,Hydrocarbures,2,290,Transporteur indépendant,Kaolack,188.0,Dimanche,sèche,dédouané avant arrivée,19.4,36.9,False,0
CRI-00136,2024-01-14,Terminal à Conteneurs,Import général,2,246,Transporteur A,Dakar (local),19.8,Dimanche,sèche,dédouané avant arrivée,21.3,33.2,False,0
CRI-00137,2024-01-14,Terminal à Conteneurs,Import général,1,254,Transporteur indépendant,Kayes (Mali),944.6,Dimanche,sèche,dédouanement en cours,43.0,17.5,True,0
CRI-00138,2024-01-14,Môle 3,Matériaux de construction,1,212,Transporteur G,Tambacounda,456.1,Dimanche,sèche,dédouanement en cours,62.1,33.5,False,126289
CRI-00139,2024-01-14,Môle 8,Import général,2,225,Transporteur indépendant,Kaolack,174.9,Dimanche,sèche,dédouané avant arrivée,39.8,23.2,False,0
CRI-00140,2024-01-14,Môle 1,Import général,1,245,Transporteur C,Kayes (Mali),905.6,Dimanche,sèche,dédouanement en cours,62.4,40.2,False,172800
CRI-00141,2024-01-14,Terminal Roulier,Denrées alimentaires,2,252,Transporteur E,Bamako (Mali),1236.5,Dimanche,sèche,dédouané avant arrivée,45.7,33.7,False,74099
CRI-00142,2024-01-14,Môle 3,Import général,2,316,Transporteur indépendant,Kaédi (Mauritanie),464.5,Dimanche,sèche,dédouané avant arrivée,51.8,15.8,False,0
CRI-00143,2024-01-15,Terminal à Conteneurs,Matériaux de construction,4,327,Transporteur A,Tambacounda,480.7,Lundi,sèche,dédouanement en cours,66.2,20.1,False,397843
CRI-00144,2024-01-15,Terminal à Conteneurs,Biens de consommation,1,354,Transporteur E,Kaolack,196.8,Lundi,sèche,dédouané avant arrivée,60.2,25.0,False,71808
CRI-00145,2024-01-15,Terminal à Conteneurs,Matériaux de construction,2,435,Transporteur F,Dakar (local),19.9,Lundi,sèche,dédouanement en cours,79.7,31.4,False,530070
CRI-00146,2024-01-15,Terminal à Conteneurs,Import général,1,317,Transporteur G,Kaolack,190.5,Lundi,sèche,dédouané avant arrivée,47.6,41.6,False,92654
CRI-00147,2024-01-15,Terminal à Conteneurs,Import général,1,336,Transporteur C,Kaolack,193.0,Lundi,sèche,dédouanement en cours,78.2,38.5,False,273802
CRI-00148,2024-01-15,Môle 1,Import général,1,467,Transporteur B,Dakar (local),19.3,Lundi,sèche,dédouané avant arrivée,55.9,71.4,False,375990
CRI-00149,2024-01-15,Terminal Roulier,Matériaux de construction,2,294,Transporteur D,Kaédi (Mauritanie),487.5,Lundi,sèche,dédouanement en cours,57.8,28.8,False,175412
CRI-00150,2024-01-15,Terminal Roulier,Import général,3,448,Transporteur C,Bamako (Mali),1255.6,Lundi,sèche,dédouané avant arrivée,88.1,80.0,True,2003364
CRI-00151,2024-01-15,Môle 1,Matériaux de construction,1,442,Transporteur A,Bamako (Mali),1205.9,Lundi,sèche,dédouanement en cours,50.7,39.1,True,86300
CRI-00152,2024-01-16,Môle 1,Matériaux de construction,1,357,Transporteur E,Thiès,69.9,Mardi,sèche,dédouané avant arrivée,78.6,43.5,False,286686
CRI-00153,2024-01-16,Terminal à Conteneurs,Hydrocarbures,1,396,Transporteur C,Tambacounda,478.8,Mardi,sèche,bloqué (litige/documents),99.3,42.7,False,387360
CRI-00154,2024-01-16,Terminal à Conteneurs,Denrées alimentaires,4,384,Transporteur A,Tambacounda,461.3,Mardi,sèche,dédouanement en cours,92.0,37.2,False,1381193
CRI-00155,2024-01-16,Môle 1,Import général,1,482,Transporteur C,Tambacounda,463.0,Mardi,sèche,dédouanement en cours,90.6,47.5,True,424170
CRI-00156,2024-01-16,Môle 1,Matériaux de construction,1,429,Transporteur B,Touba,186.0,Mardi,sèche,dédouanement en cours,90.5,28.7,False,247810
CRI-00157,2024-01-17,Terminal à Conteneurs,Denrées alimentaires,3,373,Transporteur B,Tambacounda,475.0,Mercredi,sèche,dédouané avant arrivée,51.0,62.0,False,655016
CRI-00158,2024-01-17,Terminal Roulier,Denrées alimentaires,3,298,Transporteur A,Thiès,71.7,Mercredi,sèche,dédouané avant arrivée,69.5,57.0,False,976527
CRI-00159,2024-01-17,Terminal à Conteneurs,Équipements industriels,3,370,Transporteur E,Dakar (local),19.5,Mercredi,sèche,dédouanement en cours,38.1,61.9,False,553566
CRI-00160,2024-01-17,Terminal à Conteneurs,Import général,1,358,Transporteur F,Dakar (local),20.0,Mercredi,sèche,dédouanement en cours,66.8,45.3,False,267566
